vae,band,step,offset,raw_sign0,adj_acc
FLUX.2-sm FFHQ,L2_LH+L3_HH,2,-0.124456,0.735,0.791
FLUX.2-sm FFHQ,L2_LH+L3_HH,3,-0.107152,0.799,0.874
FLUX.2-sm FFHQ,L2_LH+L3_HH,4,-0.101309,0.836,0.916
FLUX.2-sm FFHQ,L2_LH+L3_HH,5,-0.095061,0.849,0.942
FLUX.2-sm FFHQ,L2_LH+L3_HH,6,-0.090185,0.853,0.951
FLUX.2-sm FFHQ,L2_LH+L3_HH,7,-0.085866,0.847,0.957
FLUX.2-sm FFHQ,L2_LH+L3_HH,8,-0.082472,0.846,0.955
FLUX.2-sm FFHQ,L2_LH+L3_HH,9,-0.079959,0.843,0.954
FLUX.2-sm FFHQ,L2_LH+L3_HH,10,-0.076087,0.836,0.964
FLUX.2-sm FFHQ,L2_LH+L3_HH,11,-0.061621,0.82,0.944
FLUX.2-sm FFHQ,L2_LH+L3_HH,12,-0.047476,0.812,0.921
FLUX.2-sm FFHQ,L2_LH+L3_HH,13,-0.044316,0.808,0.899
FLUX.2-sm FFHQ,L2_LH+L3_HH,14,-0.041957,0.814,0.887
FLUX.2-sm FFHQ,L2_LH+L3_HH,15,-0.042022,0.837,0.891
FLUX.2-sm FFHQ,L2_LH+L3_HH,16,-0.040076,0.853,0.913
FLUX.2-sm FFHQ,L2_LH+L3_HH,17,-0.035859,0.873,0.932
FLUX.2-sm FFHQ,L2_LH+L3_HH,18,-0.031921,0.9,0.956
FLUX.2-sm FFHQ,L2_LH+L3_HH,19,-0.030175,0.92,0.964
FLUX.2-sm FFHQ,L2_LH+L3_HH,20,-0.027479,0.952,0.975
FLUX.2-sm FFHQ,L2_LH+L3_HH,21,-0.025538,0.968,0.983
FLUX.2-sm FFHQ,L2_LH+L3_HH,22,-0.019551,0.977,0.989
FLUX.2-sm FFHQ,L2_LH+L3_HH,23,-0.0121,0.99,0.991
FLUX.2-sm FFHQ,L2_LH+L3_HH,24,-0.006595,0.996,0.995
FLUX.2-sm FFHQ,L2_LH+L3_HH,25,-0.003669,0.998,0.998
FLUX.2-sm FFHQ,L2_LH+L3_HH,26,0.000406,0.999,0.999
FLUX.2-sm FFHQ,L2_LH+L3_HH,27,0.002509,1.0,1.0
FLUX.2-sm FFHQ,L2_LH+L3_HH,28,0.003147,1.0,1.0
FLUX.2-sm FFHQ,L2_LH+L3_HH,29,0.00315,1.0,1.0
FLUX.2-sm FFHQ,L2_LH+L3_HH,30,0.003054,1.0,1.0
FLUX.2-sm T2I,L2_LH+L3_HH,2,-0.26232,0.608,0.69
FLUX.2-sm T2I,L2_LH+L3_HH,3,-0.149166,0.66,0.855
FLUX.2-sm T2I,L2_LH+L3_HH,4,-0.102185,0.763,0.93
FLUX.2-sm T2I,L2_LH+L3_HH,5,-0.091945,0.805,0.96
FLUX.2-sm T2I,L2_LH+L3_HH,6,-0.09205,0.807,0.963
FLUX.2-sm T2I,L2_LH+L3_HH,7,-0.094403,0.781,0.965
FLUX.2-sm T2I,L2_LH+L3_HH,8,-0.096077,0.757,0.962
FLUX.2-sm T2I,L2_LH+L3_HH,9,-0.096433,0.722,0.959
FLUX.2-sm T2I,L2_LH+L3_HH,10,-0.095748,0.698,0.956
FLUX.2-sm T2I,L2_LH+L3_HH,11,-0.091688,0.668,0.943
FLUX.2-sm T2I,L2_LH+L3_HH,12,-0.084821,0.614,0.934
FLUX.2-sm T2I,L2_LH+L3_HH,13,-0.080549,0.58,0.921
FLUX.2-sm T2I,L2_LH+L3_HH,14,-0.075682,0.587,0.915
FLUX.2-sm T2I,L2_LH+L3_HH,15,-0.069588,0.641,0.93
FLUX.2-sm T2I,L2_LH+L3_HH,16,-0.060557,0.723,0.954
FLUX.2-sm T2I,L2_LH+L3_HH,17,-0.048477,0.809,0.968
FLUX.2-sm T2I,L2_LH+L3_HH,18,-0.036957,0.881,0.974
FLUX.2-sm T2I,L2_LH+L3_HH,19,-0.031459,0.938,0.98
FLUX.2-sm T2I,L2_LH+L3_HH,20,-0.024719,0.975,0.984
FLUX.2-sm T2I,L2_LH+L3_HH,21,-0.019153,0.986,0.992
FLUX.2-sm T2I,L2_LH+L3_HH,22,-0.01681,0.989,0.996
FLUX.2-sm T2I,L2_LH+L3_HH,23,-0.014216,0.992,0.996
FLUX.2-sm T2I,L2_LH+L3_HH,24,-0.009833,0.996,0.997
FLUX.2-sm T2I,L2_LH+L3_HH,25,-0.004081,0.996,0.997
FLUX.2-sm T2I,L2_LH+L3_HH,26,0.002512,0.996,0.997
FLUX.2-sm T2I,L2_LH+L3_HH,27,0.004581,0.997,0.997
FLUX.2-sm T2I,L2_LH+L3_HH,28,0.005371,0.998,0.998
FLUX.2-sm T2I,L2_LH+L3_HH,29,0.007543,0.998,0.998
FLUX.2-sm T2I,L2_LH+L3_HH,30,0.0127,0.998,0.998
FLUX.1-dev,L2_LH+L3_HH,2,-0.219769,0.625,0.831
FLUX.1-dev,L2_LH+L3_HH,3,-0.235086,0.578,0.888
FLUX.1-dev,L2_LH+L3_HH,4,-0.22467,0.566,0.933
FLUX.1-dev,L2_LH+L3_HH,5,-0.207272,0.565,0.95
FLUX.1-dev,L2_LH+L3_HH,6,-0.192148,0.571,0.964
FLUX.1-dev,L2_LH+L3_HH,7,-0.176422,0.579,0.974
FLUX.1-dev,L2_LH+L3_HH,8,-0.162362,0.594,0.981
FLUX.1-dev,L2_LH+L3_HH,9,-0.149624,0.6,0.983
FLUX.1-dev,L2_LH+L3_HH,10,-0.138745,0.615,0.984
FLUX.1-dev,L2_LH+L3_HH,11,-0.117266,0.667,0.99
FLUX.1-dev,L2_LH+L3_HH,12,-0.097592,0.76,0.993
FLUX.1-dev,L2_LH+L3_HH,13,-0.084982,0.821,0.995
FLUX.1-dev,L2_LH+L3_HH,14,-0.071379,0.852,0.995
FLUX.1-dev,L2_LH+L3_HH,15,-0.061379,0.872,0.997
FLUX.1-dev,L2_LH+L3_HH,16,-0.054375,0.897,0.997
FLUX.1-dev,L2_LH+L3_HH,17,-0.052795,0.915,0.996
FLUX.1-dev,L2_LH+L3_HH,18,-0.050668,0.925,0.997
FLUX.1-dev,L2_LH+L3_HH,19,-0.046899,0.932,0.997
FLUX.1-dev,L2_LH+L3_HH,20,-0.04372,0.939,0.997
FLUX.1-dev,L2_LH+L3_HH,21,-0.040931,0.937,0.998
FLUX.1-dev,L2_LH+L3_HH,22,-0.038257,0.941,0.998
FLUX.1-dev,L2_LH+L3_HH,23,-0.036189,0.943,0.998
FLUX.1-dev,L2_LH+L3_HH,24,-0.035045,0.943,0.998
FLUX.1-dev,L2_LH+L3_HH,25,-0.033909,0.941,0.997
FLUX.1-dev,L2_LH+L3_HH,26,-0.033261,0.933,0.996
FLUX.1-dev,L2_LH+L3_HH,27,-0.032478,0.927,0.996
FLUX.1-dev,L2_LH+L3_HH,28,-0.03188,0.922,0.994
FLUX.1-dev,L2_LH+L3_HH,29,-0.031085,0.914,0.993
FLUX.1-dev,L2_LH+L3_HH,30,-0.030924,0.911,0.993
SDXL,L2_LH+L3_HH,2,-0.115008,0.63,0.786
SDXL,L2_LH+L3_HH,3,-0.070324,0.818,0.917
SDXL,L2_LH+L3_HH,4,-0.041904,0.921,0.962
SDXL,L2_LH+L3_HH,5,-0.021939,0.968,0.975
SDXL,L2_LH+L3_HH,6,-0.009424,0.979,0.979
SDXL,L2_LH+L3_HH,7,-0.000707,0.981,0.981
SDXL,L2_LH+L3_HH,8,0.00491,0.984,0.983
SDXL,L2_LH+L3_HH,9,0.010613,0.985,0.988
SDXL,L2_LH+L3_HH,10,0.015643,0.985,0.988
SDXL,L2_LH+L3_HH,11,0.036544,0.989,0.992
SDXL,L2_LH+L3_HH,12,0.026356,0.989,0.996
SDXL,L2_LH+L3_HH,13,0.025354,0.984,0.999
SDXL,L2_LH+L3_HH,14,0.027071,0.983,0.999
SDXL,L2_LH+L3_HH,15,0.031532,0.982,0.999
SDXL,L2_LH+L3_HH,16,0.03289,0.975,1.0
SDXL,L2_LH+L3_HH,17,0.032329,0.967,1.0
SDXL,L2_LH+L3_HH,18,0.030847,0.962,1.0
SDXL,L2_LH+L3_HH,19,0.029523,0.956,1.0
SDXL,L2_LH+L3_HH,20,0.026596,0.948,1.0
SDXL,L2_LH+L3_HH,21,0.023231,0.942,1.0
SDXL,L2_LH+L3_HH,22,0.021114,0.938,1.0
SDXL,L2_LH+L3_HH,23,0.019622,0.943,1.0
SDXL,L2_LH+L3_HH,24,0.018592,0.947,1.0
SDXL,L2_LH+L3_HH,25,0.018232,0.945,1.0
SDXL,L2_LH+L3_HH,26,0.018611,0.949,1.0
SDXL,L2_LH+L3_HH,27,0.016369,0.95,1.0
SDXL,L2_LH+L3_HH,28,0.014851,0.956,1.0
SDXL,L2_LH+L3_HH,29,0.012887,0.96,1.0
SDXL,L2_LH+L3_HH,30,0.011532,0.961,1.0
SDXL GenImage,L2_LH+L3_HH,2,-0.07109,0.822,0.877
SDXL GenImage,L2_LH+L3_HH,3,-0.039419,0.932,0.948
SDXL GenImage,L2_LH+L3_HH,4,-0.022338,0.963,0.964
SDXL GenImage,L2_LH+L3_HH,5,-0.01295,0.977,0.978
SDXL GenImage,L2_LH+L3_HH,6,-0.003163,0.981,0.981
SDXL GenImage,L2_LH+L3_HH,7,0.002471,0.986,0.986
SDXL GenImage,L2_LH+L3_HH,8,0.011001,0.987,0.989
SDXL GenImage,L2_LH+L3_HH,9,0.014879,0.988,0.99
SDXL GenImage,L2_LH+L3_HH,10,0.015111,0.989,0.991
SDXL GenImage,L2_LH+L3_HH,11,0.044264,0.99,0.997
SDXL GenImage,L2_LH+L3_HH,12,0.035067,0.988,0.999
SDXL GenImage,L2_LH+L3_HH,13,0.040683,0.985,0.999
SDXL GenImage,L2_LH+L3_HH,14,0.04154,0.984,1.0
SDXL GenImage,L2_LH+L3_HH,15,0.039767,0.981,1.0
SDXL GenImage,L2_LH+L3_HH,16,0.037875,0.971,1.0
SDXL GenImage,L2_LH+L3_HH,17,0.035891,0.965,1.0
SDXL GenImage,L2_LH+L3_HH,18,0.033198,0.959,1.0
SDXL GenImage,L2_LH+L3_HH,19,0.030929,0.952,1.0
SDXL GenImage,L2_LH+L3_HH,20,0.029272,0.948,1.0
SDXL GenImage,L2_LH+L3_HH,21,0.027503,0.942,1.0
SDXL GenImage,L2_LH+L3_HH,22,0.025233,0.94,1.0
SDXL GenImage,L2_LH+L3_HH,23,0.022854,0.946,1.0
SDXL GenImage,L2_LH+L3_HH,24,0.020972,0.952,1.0
SDXL GenImage,L2_LH+L3_HH,25,0.019325,0.953,1.0
SDXL GenImage,L2_LH+L3_HH,26,0.017322,0.954,1.0
SDXL GenImage,L2_LH+L3_HH,27,0.015326,0.956,1.0
SDXL GenImage,L2_LH+L3_HH,28,0.013736,0.961,1.0
SDXL GenImage,L2_LH+L3_HH,29,0.012656,0.966,1.0
SDXL GenImage,L2_LH+L3_HH,30,0.012196,0.968,1.0
Wan2.2,L2_LH+L3_HH,2,-0.60462,0.5314,0.94
Wan2.2,L2_LH+L3_HH,3,-0.443558,0.5686,0.9714
Wan2.2,L2_LH+L3_HH,4,-0.357808,0.6286,0.9771
Wan2.2,L2_LH+L3_HH,5,-0.343557,0.6886,0.9829
Wan2.2,L2_LH+L3_HH,6,-0.303563,0.7886,0.9829
Wan2.2,L2_LH+L3_HH,7,-0.245056,0.9114,0.9829
Wan2.2,L2_LH+L3_HH,8,-0.124683,0.94,0.9857
Wan2.2,L2_LH+L3_HH,9,-0.139375,0.9629,0.9914
Wan2.2,L2_LH+L3_HH,10,-0.116488,0.9771,0.9914
Wan2.2,L2_LH+L3_HH,11,-0.052051,0.9886,0.9943
Wan2.2,L2_LH+L3_HH,12,-0.019177,0.9943,0.9943
Wan2.2,L2_LH+L3_HH,13,0.000884,0.9943,0.9943
Wan2.2,L2_LH+L3_HH,14,-0.098722,0.9943,0.9943
Wan2.2,L2_LH+L3_HH,15,-0.079108,0.9943,0.9943
Wan2.2,L2_LH+L3_HH,16,-0.03029,0.9943,0.9971
Wan2.2,L2_LH+L3_HH,17,-0.020543,0.9943,0.9971
Wan2.2,L2_LH+L3_HH,18,-0.012738,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,19,-0.007989,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,20,-0.004734,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,21,-0.003198,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,22,-0.007838,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,23,-0.015742,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,24,-0.020337,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,25,-0.022127,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,26,-0.02035,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,27,-0.01729,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,28,-0.014442,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,29,-0.013143,0.9971,0.9971
Wan2.2,L2_LH+L3_HH,30,-0.012762,0.9971,0.9971
SD1.5,L2_LH+L3_HH,2,0.266928,0.596,0.994
SD1.5,L2_LH+L3_HH,3,0.223761,0.635,0.994
SD1.5,L2_LH+L3_HH,4,0.22559,0.678,0.996
SD1.5,L2_LH+L3_HH,5,0.176616,0.709,0.997
SD1.5,L2_LH+L3_HH,6,0.177526,0.749,0.998
SD1.5,L2_LH+L3_HH,7,0.148957,0.777,0.998
SD1.5,L2_LH+L3_HH,8,0.126862,0.798,0.998
SD1.5,L2_LH+L3_HH,9,0.110296,0.811,0.998
SD1.5,L2_LH+L3_HH,10,0.09902,0.829,0.998
SD1.5,L2_LH+L3_HH,11,0.105021,0.853,0.999
SD1.5,L2_LH+L3_HH,12,0.083471,0.872,0.999
SD1.5,L2_LH+L3_HH,13,0.075179,0.885,0.999
SD1.5,L2_LH+L3_HH,14,0.062927,0.883,0.998
SD1.5,L2_LH+L3_HH,15,0.058572,0.882,0.998
SD1.5,L2_LH+L3_HH,16,0.056032,0.882,0.998
SD1.5,L2_LH+L3_HH,17,0.05414,0.873,0.998
SD1.5,L2_LH+L3_HH,18,0.053812,0.864,0.998
SD1.5,L2_LH+L3_HH,19,0.05657,0.86,0.998
SD1.5,L2_LH+L3_HH,20,0.062865,0.858,0.998
SD1.5,L2_LH+L3_HH,21,0.086552,0.861,1.0
SD1.5,L2_LH+L3_HH,22,0.083193,0.857,1.0
SD1.5,L2_LH+L3_HH,23,0.080751,0.851,1.0
SD1.5,L2_LH+L3_HH,24,0.07747,0.851,1.0
SD1.5,L2_LH+L3_HH,25,0.033784,0.849,0.997
SD1.5,L2_LH+L3_HH,26,0.03177,0.85,0.997
SD1.5,L2_LH+L3_HH,27,0.029345,0.849,0.997
SD1.5,L2_LH+L3_HH,28,0.027459,0.851,0.997
SD1.5,L2_LH+L3_HH,29,0.052044,0.853,1.0
SD1.5,L2_LH+L3_HH,30,0.048895,0.86,1.0
